구,DMS 지역명,세부 주소,경관 타입
도봉,초안산근린공원,서울시 도봉구 해등로3길 48-11,공원
,쌍문3동주민센터,서울시 도봉구 노해로44길 9,주거지
강북,우이3교 하수과창고,서울시 강북구 덕릉로51길 18,수변부
,오패산공원,서울시 강북구 오패산로 52라길,공원
노원,마들로1가길,서울시 노원구 마들로1가길,주거지
,공릉1동주민센터,서울시 노원구 동일로186길 3-24,주거지
은평,불광보건분소,서울시 은평구 연서로34길 11,주거지
,은평구보건소,서울시 은평구 은평로 195,주거지
성북,석관빗물펌프장,서울시 성북구 석관동 134-2,수변부
,성북구보건소,서울시 성북구 하월곡동 46-1,주거지
중랑,중랑캠핑숲,서울시 중랑구 망우동 산30-7,공원
,샘터공원,서울시 중랑구 면목4동 656,공원
서대문,북가좌1동주민센터,서울시 서대문구 북가좌1동 477,주거지
,홍제천수변공원,서울시 서대문구 모래내로 376-19,공원
종로,연지근린공원,서울시 종로구 연지동 1-38,공원
,지봉골공원,서울시 종로구 지봉로13길 14,주거지
,참샘골공원,서울시 종로구 평창동 470번지,공원
동대문,휘경빗물펌프장,서울시 동대문구 한천로 326,수변부
,청량리동주민센터,서울시 동대문구 왕산로43다길 5,주거지
강서,화곡보건분소,서울시 강서구 월정로30길 96,주거지
,강서구보건소,서울시 강서구 공항대로 561,주거지
마포,마포유수지,서울시 마포구 마포대로1길 6,수변부
,은행나무어린이공원,서울시 마포구 연남동 250-1,공원
중,남산골한옥마을,서울시 중구 퇴계로34길 28,공원
,다산동주민센터,서울시 중구 다산동 432-24,주거지
성동,성동구민종합체육센터,서울시 성동구 왕십리로 89,주거지
,성동구보건소,서울시 성동구 마장로23길 10,주거지
용산,문배빗물펌프장,서울시 용산구 백범로90다길 43,수변부
,보광동주민센터,서울시 용산구 장문로 95,주거지
광진,자양유수지공영주차장,서울시 광진구 자양2동 594,수변부
,중곡3동마을공원,서울시 광진구 중곡동 195-1,공원
,긴고랑공원,서울시 광진구 긴고랑로 143,공원
,구의공원,서울시 광진구 광나루로 56길 86,공원
,중랑천 뚝방길 산책로,서울시 광진구 동일로 399-1,수변부
강동,동명근린공원,서울시 강동구 아리수로78길 43-12,공원
,강동구보건소,서울시 강동구 성내로 45,주거지
양천,목동도심소공원,서울시 양천구 목동,공원
,앞산어린이공원,서울시 양천구 신정동 910-9,공원
영등포,신길동공원,서울시 영등포구 신길동 4934-4,공원
,여의도샛강생태공원,서울시 영등포구 여의동로 48,공원
동작,흑석빗물펌프장,서울시 동작구 서달로 175,수변부
,동작문화복지센터,서울시 동작구 장승배기로10길 4,주거지
서초,방배빗물펌프장,서울시 서초구 방배중앙로19길 4,수변부
,서초1동주민센터,서울시 서초구 사임당로 89,주거지
강남,아랫반마을펌프장,서울시 강남구 세곡동 516-12,수변부
,강남구보건소,서울시 강남구 선릉로 668,주거지
송파,몽촌빗물펌프장,서울시 송파구 신천동 21,수변부
,가락근린공원,서울시 송파구 중대로 179,공원
구로,금강수목원아파트,서울시 구로구 오리로 1197,주거지
,세화어린이집,서울시 구로구 구로동로8길 27,주거지
금천,금천구보건소,서울시 금천구 시흥대로73길 70,주거지
,독산보건분소,서울시 금천구 독산로87길 27,주거지
관악,남부어린이공원,서울시 관악구 신사동 483-14,공원
,백설어린이공원,서울시 관악구 낙성대동 1606-11,공원
